🚀 MONITORAMENTO DE DOWNTIME - DEPLOY OTIMIZADO V2
⏰ Iniciado em: Mon Aug  4 02:41:06 UTC 2025
🎯 Endpoint: http://bia-1751550233.us-east-1.elb.amazonaws.com/api/versao
📊 Configurações otimizadas aplicadas:
   - Health Check: 10s (3x mais rápido)
   - Deregistration: 5s (6x mais rápido)
   - MaximumPercent: 200% (deploy paralelo)
   - Resultado esperado: ZERO DOWNTIME
========================================
🔍 Iniciando monitoramento (Ctrl+C para parar)...
✅ 02:41:06 - Status: 200 - OK (1/1)
✅ 02:41:08 - Status: 200 - OK (2/2)
✅ 02:41:10 - Status: 200 - OK (3/3)
✅ 02:41:12 - Status: 200 - OK (4/4)
✅ 02:41:14 - Status: 200 - OK (5/5)
✅ 02:41:16 - Status: 200 - OK (6/6)
✅ 02:41:18 - Status: 200 - OK (7/7)
✅ 02:41:20 - Status: 200 - OK (8/8)
✅ 02:41:22 - Status: 200 - OK (9/9)
✅ 02:41:24 - Status: 200 - OK (10/10)
✅ 02:41:26 - Status: 200 - OK (11/11)
✅ 02:41:28 - Status: 200 - OK (12/12)
✅ 02:41:30 - Status: 200 - OK (13/13)
✅ 02:41:33 - Status: 200 - OK (14/14)
✅ 02:41:35 - Status: 200 - OK (15/15)
✅ 02:41:37 - Status: 200 - OK (16/16)
✅ 02:41:39 - Status: 200 - OK (17/17)
✅ 02:41:41 - Status: 200 - OK (18/18)
✅ 02:41:43 - Status: 200 - OK (19/19)
✅ 02:41:45 - Status: 200 - OK (20/20)
✅ 02:41:47 - Status: 200 - OK (21/21)
✅ 02:41:49 - Status: 200 - OK (22/22)
✅ 02:41:51 - Status: 200 - OK (23/23)
✅ 02:41:53 - Status: 200 - OK (24/24)
✅ 02:41:55 - Status: 200 - OK (25/25)
✅ 02:41:57 - Status: 200 - OK (26/26)
✅ 02:41:59 - Status: 200 - OK (27/27)
✅ 02:42:01 - Status: 200 - OK (28/28)
✅ 02:42:03 - Status: 200 - OK (29/29)
✅ 02:42:05 - Status: 200 - OK (30/30)
✅ 02:42:07 - Status: 200 - OK (31/31)
✅ 02:42:09 - Status: 200 - OK (32/32)
✅ 02:42:11 - Status: 200 - OK (33/33)
✅ 02:42:13 - Status: 200 - OK (34/34)
✅ 02:42:15 - Status: 200 - OK (35/35)
✅ 02:42:17 - Status: 200 - OK (36/36)
✅ 02:42:19 - Status: 200 - OK (37/37)
✅ 02:42:21 - Status: 200 - OK (38/38)
✅ 02:42:23 - Status: 200 - OK (39/39)
✅ 02:42:25 - Status: 200 - OK (40/40)
✅ 02:42:27 - Status: 200 - OK (41/41)
✅ 02:42:29 - Status: 200 - OK (42/42)
✅ 02:42:31 - Status: 200 - OK (43/43)
✅ 02:42:33 - Status: 200 - OK (44/44)
✅ 02:42:35 - Status: 200 - OK (45/45)
✅ 02:42:37 - Status: 200 - OK (46/46)
✅ 02:42:39 - Status: 200 - OK (47/47)
✅ 02:42:41 - Status: 200 - OK (48/48)
✅ 02:42:43 - Status: 200 - OK (49/49)
✅ 02:42:45 - Status: 200 - OK (50/50)
✅ 02:42:47 - Status: 200 - OK (51/51)
✅ 02:42:49 - Status: 200 - OK (52/52)
✅ 02:42:51 - Status: 200 - OK (53/53)
✅ 02:42:53 - Status: 200 - OK (54/54)
✅ 02:42:55 - Status: 200 - OK (55/55)
✅ 02:42:57 - Status: 200 - OK (56/56)
✅ 02:42:59 - Status: 200 - OK (57/57)
✅ 02:43:01 - Status: 200 - OK (58/58)
✅ 02:43:03 - Status: 200 - OK (59/59)
✅ 02:43:05 - Status: 200 - OK (60/60)
✅ 02:43:07 - Status: 200 - OK (61/61)
✅ 02:43:09 - Status: 200 - OK (62/62)
✅ 02:43:11 - Status: 200 - OK (63/63)
✅ 02:43:13 - Status: 200 - OK (64/64)
✅ 02:43:15 - Status: 200 - OK (65/65)
✅ 02:43:17 - Status: 200 - OK (66/66)
✅ 02:43:19 - Status: 200 - OK (67/67)
✅ 02:43:21 - Status: 200 - OK (68/68)
✅ 02:43:23 - Status: 200 - OK (69/69)
✅ 02:43:25 - Status: 200 - OK (70/70)
✅ 02:43:27 - Status: 200 - OK (71/71)
✅ 02:43:29 - Status: 200 - OK (72/72)
✅ 02:43:31 - Status: 200 - OK (73/73)
✅ 02:43:33 - Status: 200 - OK (74/74)
✅ 02:43:35 - Status: 200 - OK (75/75)
✅ 02:43:37 - Status: 200 - OK (76/76)
✅ 02:43:39 - Status: 200 - OK (77/77)
✅ 02:43:41 - Status: 200 - OK (78/78)
✅ 02:43:43 - Status: 200 - OK (79/79)
✅ 02:43:45 - Status: 200 - OK (80/80)
✅ 02:43:48 - Status: 200 - OK (81/81)
✅ 02:43:50 - Status: 200 - OK (82/82)
✅ 02:43:52 - Status: 200 - OK (83/83)
✅ 02:43:54 - Status: 200 - OK (84/84)
✅ 02:43:56 - Status: 200 - OK (85/85)
✅ 02:43:58 - Status: 200 - OK (86/86)
✅ 02:44:00 - Status: 200 - OK (87/87)
