=== INICIANDO MONITORAMENTO DE DISPONIBILIDADE ===
URL: http://bia-1260066125.us-east-1.elb.amazonaws.com/api/versao
Duração: 5 minutos
Intervalo: 3 segundos
==========================================
✅ Status: 200 - Hora: 23:12:16
✅ Status: 200 - Hora: 23:12:19
✅ Status: 200 - Hora: 23:12:22
✅ Status: 200 - Hora: 23:12:25
✅ Status: 200 - Hora: 23:12:28
✅ Status: 200 - Hora: 23:12:31
✅ Status: 200 - Hora: 23:12:34
✅ Status: 200 - Hora: 23:12:38
✅ Status: 200 - Hora: 23:12:41
✅ Status: 200 - Hora: 23:12:44
✅ Status: 200 - Hora: 23:12:47
✅ Status: 200 - Hora: 23:12:50
✅ Status: 200 - Hora: 23:12:53
✅ Status: 200 - Hora: 23:12:56
✅ Status: 200 - Hora: 23:12:59
✅ Status: 200 - Hora: 23:13:02
✅ Status: 200 - Hora: 23:13:05
✅ Status: 200 - Hora: 23:13:08
✅ Status: 200 - Hora: 23:13:11
✅ Status: 200 - Hora: 23:13:14
✅ Status: 200 - Hora: 23:13:17
✅ Status: 200 - Hora: 23:13:20
✅ Status: 200 - Hora: 23:13:23
✅ Status: 200 - Hora: 23:13:26
✅ Status: 200 - Hora: 23:13:29
✅ Status: 200 - Hora: 23:13:32
✅ Status: 200 - Hora: 23:13:35
✅ Status: 200 - Hora: 23:13:38
✅ Status: 200 - Hora: 23:13:41
✅ Status: 200 - Hora: 23:13:44
✅ Status: 200 - Hora: 23:13:47
✅ Status: 200 - Hora: 23:13:50
✅ Status: 200 - Hora: 23:13:53
✅ Status: 200 - Hora: 23:13:56
✅ Status: 200 - Hora: 23:13:59
✅ Status: 200 - Hora: 23:14:02
✅ Status: 200 - Hora: 23:14:05
✅ Status: 200 - Hora: 23:14:08
✅ Status: 200 - Hora: 23:14:11
✅ Status: 200 - Hora: 23:14:14
✅ Status: 200 - Hora: 23:14:17
✅ Status: 200 - Hora: 23:14:20
✅ Status: 200 - Hora: 23:14:23
✅ Status: 200 - Hora: 23:14:26
✅ Status: 200 - Hora: 23:14:29
✅ Status: 200 - Hora: 23:14:32
✅ Status: 200 - Hora: 23:14:35
✅ Status: 200 - Hora: 23:14:38
✅ Status: 200 - Hora: 23:14:41
✅ Status: 200 - Hora: 23:14:44
✅ Status: 200 - Hora: 23:14:47
✅ Status: 200 - Hora: 23:14:50
✅ Status: 200 - Hora: 23:14:53
✅ Status: 200 - Hora: 23:14:56
✅ Status: 200 - Hora: 23:14:59
✅ Status: 200 - Hora: 23:15:02
✅ Status: 200 - Hora: 23:15:05
✅ Status: 200 - Hora: 23:15:08
✅ Status: 200 - Hora: 23:15:11
✅ Status: 200 - Hora: 23:15:14
✅ Status: 200 - Hora: 23:15:17
✅ Status: 200 - Hora: 23:15:20
✅ Status: 200 - Hora: 23:15:23
✅ Status: 200 - Hora: 23:15:26
✅ Status: 200 - Hora: 23:15:29
✅ Status: 200 - Hora: 23:15:32
✅ Status: 200 - Hora: 23:15:35
✅ Status: 200 - Hora: 23:15:38
✅ Status: 200 - Hora: 23:15:41
✅ Status: 200 - Hora: 23:15:44
✅ Status: 200 - Hora: 23:15:47
✅ Status: 200 - Hora: 23:15:50
✅ Status: 200 - Hora: 23:15:53
✅ Status: 200 - Hora: 23:15:56
✅ Status: 200 - Hora: 23:15:59
✅ Status: 200 - Hora: 23:16:03
✅ Status: 200 - Hora: 23:16:06
✅ Status: 200 - Hora: 23:16:09
✅ Status: 200 - Hora: 23:16:12
✅ Status: 200 - Hora: 23:16:15
✅ Status: 200 - Hora: 23:16:18
✅ Status: 200 - Hora: 23:16:21
✅ Status: 200 - Hora: 23:16:24
✅ Status: 200 - Hora: 23:16:27
✅ Status: 200 - Hora: 23:16:30
✅ Status: 200 - Hora: 23:16:33
✅ Status: 200 - Hora: 23:16:36
✅ Status: 200 - Hora: 23:16:39
✅ Status: 200 - Hora: 23:16:42
✅ Status: 200 - Hora: 23:16:45
✅ Status: 200 - Hora: 23:16:48
✅ Status: 200 - Hora: 23:16:51
✅ Status: 200 - Hora: 23:16:54
✅ Status: 200 - Hora: 23:16:57
✅ Status: 200 - Hora: 23:17:00
✅ Status: 200 - Hora: 23:17:03
✅ Status: 200 - Hora: 23:17:06
✅ Status: 200 - Hora: 23:17:09
✅ Status: 200 - Hora: 23:17:12
✅ Status: 200 - Hora: 23:17:15
==========================================
=== MONITORAMENTO FINALIZADO ===
